#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 668
#direction_of_profile A
#data_mode D
#profile_date 2015-08-16T18:34:02Z
#profile_latitude 1.115
#profile_longitude -104.139
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.089,33.966,2.42,0.004,0.010
5.00,27.085,33.966,2.42,0.004,0.010
10.00,27.085,33.967,2.42,0.004,0.010
15.00,27.074,33.973,2.42,0.004,0.010
20.00,26.997,34.022,2.42,0.004,0.010
25.00,26.785,34.151,2.42,0.004,0.011
30.00,26.241,34.414,2.42,0.004,0.013
35.00,25.517,34.691,2.42,0.004,0.023
40.00,24.428,34.974,2.42,0.007,0.010
45.00,24.292,34.989,2.42,0.007,0.010
50.00,24.272,34.991,2.42,0.007,0.010
55.00,23.689,34.971,2.42,0.007,0.025
60.00,22.582,34.901,2.42,0.007,0.015
65.00,21.772,34.875,2.42,0.007,0.037
70.00,19.562,34.833,2.42,0.007,0.013
75.00,19.188,34.833,2.42,0.007,0.010
80.00,18.905,34.840,2.42,0.007,0.010
85.00,18.145,34.870,2.42,0.007,0.037
90.00,16.681,34.870,2.42,0.003,0.010
95.00,16.388,34.884,2.42,0.003,0.010
100.00,16.217,34.897,2.42,0.003,0.010
105.00,15.961,34.903,2.42,0.003,0.010
110.00,15.870,34.904,2.42,0.003,0.010
115.00,15.713,34.910,2.42,0.003,0.010
120.00,15.539,34.920,2.42,0.003,0.010
125.00,15.173,34.935,2.42,0.003,0.010
130.00,14.874,34.933,2.42,0.003,0.010
135.00,14.808,34.935,2.42,0.003,0.010
140.00,14.777,34.932,2.42,0.003,0.010
145.00,14.693,34.930,2.42,0.003,0.010
150.00,14.489,34.957,2.42,0.003,0.010
155.00,14.374,34.967,2.42,0.003,0.010
160.00,14.378,34.970,2.42,0.003,0.010
165.00,14.355,34.968,2.42,0.003,0.010
170.00,14.204,34.955,2.42,0.003,0.010
175.00,14.053,34.946,2.42,0.003,0.010
180.00,13.972,34.936,2.42,0.003,0.010
185.00,13.819,34.920,2.42,0.003,0.010
190.00,13.718,34.921,2.42,0.003,0.010
195.00,13.663,34.925,2.42,0.003,0.010
200.00,13.370,34.919,2.42,0.003,0.010
205.00,13.257,34.910,2.42,0.003,0.010
210.00,13.224,34.906,2.42,0.003,0.010
215.00,13.206,34.905,2.42,0.003,0.010
220.00,13.166,34.905,2.42,0.003,0.010
225.00,13.145,34.905,2.42,0.003,0.010
230.00,13.118,34.905,2.42,0.003,0.010
235.00,13.103,34.905,2.42,0.003,0.010
240.00,13.058,34.905,2.42,0.003,0.010
245.00,12.973,34.903,2.42,0.003,0.010
250.00,12.917,34.900,2.42,0.003,0.010
260.00,12.824,34.894,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
