#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 493
#direction_of_profile A
#data_mode D
#profile_date 2015-03-20T23:32:39Z
#profile_latitude 1.052
#profile_longitude -101.578
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,26.473,34.668,2.42,0.005,0.019
5.00,26.112,34.644,2.42,0.005,0.010
10.00,25.888,34.657,2.42,0.005,0.010
15.00,25.716,34.667,2.42,0.005,0.010
20.00,25.538,34.672,2.42,0.005,0.010
25.00,25.290,34.692,2.42,0.005,0.010
30.00,24.768,34.744,2.42,0.005,0.012
35.00,24.369,34.803,2.42,0.005,0.010
40.00,24.152,34.870,2.42,0.017,0.010
45.00,23.876,34.847,2.42,0.017,0.010
50.00,23.614,34.853,2.42,0.017,0.010
55.00,23.396,34.860,2.42,0.017,0.033
60.00,,,,,
65.00,18.021,34.863,2.42,0.017,0.044
70.00,16.773,34.852,2.42,0.017,0.010
75.00,16.104,34.869,2.42,0.017,0.014
80.00,15.753,34.874,2.42,0.017,0.010
85.00,15.402,34.885,2.42,0.017,0.010
90.00,15.198,34.889,2.42,0.003,0.010
95.00,15.143,34.896,2.42,0.003,0.010
100.00,15.067,34.909,2.42,0.003,0.010
105.00,14.980,34.925,2.42,0.003,0.010
110.00,14.836,34.940,2.42,0.003,0.010
115.00,14.551,34.948,2.42,0.003,0.010
120.00,14.414,34.953,2.42,0.003,0.010
125.00,14.229,34.946,2.42,0.003,0.010
130.00,14.156,34.943,2.42,0.003,0.010
135.00,14.053,34.946,2.42,0.003,0.010
140.00,13.984,34.942,2.42,0.003,0.010
145.00,13.879,34.935,2.42,0.003,0.010
150.00,13.617,34.920,2.42,0.003,0.010
155.00,13.487,34.912,2.42,0.003,0.010
160.00,13.435,34.910,2.42,0.003,0.010
165.00,13.377,34.907,2.42,0.003,0.010
170.00,13.331,34.906,2.42,0.003,0.010
175.00,13.285,34.905,2.42,0.003,0.010
180.00,13.207,34.903,2.42,0.003,0.010
185.00,13.171,34.904,2.42,0.003,0.010
190.00,13.052,34.900,2.42,0.003,0.010
195.00,13.052,34.901,2.42,0.003,0.010
200.00,13.053,34.901,2.42,0.003,0.010
205.00,13.052,34.901,2.42,0.003,0.010
210.00,13.050,34.901,2.42,0.003,0.010
215.00,13.045,34.901,2.42,0.003,0.010
220.00,13.033,34.902,2.42,0.003,0.010
225.00,12.911,34.899,2.42,0.003,0.010
230.00,12.798,34.892,2.42,0.003,0.010
235.00,12.788,34.891,2.42,0.003,0.010
240.00,12.781,34.891,2.42,0.003,0.010
245.00,12.768,34.890,2.42,0.003,0.010
250.00,12.751,34.888,2.42,0.003,0.010
260.00,12.616,34.881,2.42,0.003,0.010
