#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1914
#direction_of_profile A
#data_mode D
#profile_date 2017-10-16T23:15:10Z
#profile_latitude 7.438
#profile_longitude -114.493
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.650,33.106,2.42,0.003,0.010
5.00,27.504,33.265,2.42,0.003,0.010
10.00,27.480,33.278,2.42,0.003,0.010
15.00,27.470,33.278,2.42,0.003,0.010
20.00,27.459,33.281,2.42,0.003,0.010
25.00,27.443,33.289,2.42,0.003,0.010
30.00,27.463,33.314,2.42,0.003,0.010
35.00,27.457,33.333,2.42,0.003,0.010
40.00,27.546,33.445,2.42,0.003,0.010
45.00,27.556,33.555,2.42,0.008,0.010
50.00,27.523,33.552,2.42,0.008,0.010
55.00,27.505,33.552,2.42,0.008,0.010
60.00,27.499,33.555,2.42,0.008,0.010
65.00,27.516,33.579,2.42,0.008,0.018
70.00,26.484,34.005,2.42,0.008,0.043
75.00,23.506,34.464,2.42,0.008,0.052
80.00,21.456,34.599,2.42,0.008,0.058
85.00,19.022,34.741,2.42,0.008,0.060
90.00,17.138,34.711,2.42,0.003,0.012
95.00,16.367,34.724,2.42,0.004,0.023
100.00,15.675,34.748,2.42,0.004,0.024
105.00,14.967,34.787,2.42,0.004,0.014
110.00,14.694,34.790,2.42,0.004,0.010
115.00,14.169,34.799,2.42,0.004,0.013
120.00,13.822,34.794,2.42,0.004,0.010
125.00,13.621,34.792,2.42,0.004,0.010
130.00,13.446,34.770,2.42,0.004,0.010
135.00,13.069,34.771,2.42,0.004,0.010
140.00,12.754,34.786,2.42,0.003,0.010
145.00,12.698,34.814,2.42,0.003,0.010
150.00,12.643,34.825,2.42,0.003,0.010
155.00,12.552,34.833,2.42,0.003,0.010
160.00,12.396,34.819,2.42,0.003,0.010
165.00,12.289,34.812,2.42,0.003,0.010
170.00,12.108,34.805,2.42,0.003,0.010
175.00,11.902,34.794,2.42,0.003,0.010
180.00,11.829,34.787,2.42,0.003,0.010
185.00,11.708,34.781,2.42,0.003,0.010
190.00,11.622,34.773,2.42,0.003,0.010
195.00,11.608,34.773,2.42,0.003,0.010
200.00,11.517,34.771,2.42,0.003,0.010
205.00,11.465,34.767,2.42,0.003,0.010
210.00,11.444,34.765,2.42,0.003,0.010
215.00,11.394,34.765,2.42,0.003,0.010
220.00,11.337,34.761,2.42,0.003,0.010
225.00,11.262,34.755,2.42,0.003,0.010
230.00,11.253,34.754,2.42,0.003,0.010
235.00,11.206,34.753,2.42,0.003,0.010
240.00,11.117,34.749,2.42,0.003,0.010
245.00,11.023,34.747,2.42,0.003,0.010
250.00,10.987,34.746,2.42,0.003,0.010
260.00,10.819,34.738,2.42,0.003,0.010
270.00,10.710,34.734,2.42,0.003,0.010
280.00,10.606,34.728,2.42,0.003,0.010
290.00,10.544,34.725,2.42,0.003,0.010
300.00,10.412,34.718,2.42,0.003,0.010
310.00,10.311,34.711,2.42,0.003,0.010
320.00,10.293,34.710,2.42,0.003,0.010
330.00,10.198,34.708,2.42,0.003,0.010
340.00,10.138,34.708,2.42,0.003,0.010
350.00,10.045,34.705,2.42,0.003,0.010
375.00,9.851,34.696,2.42,0.003,0.010
400.00,9.650,34.687,2.42,0.003,0.010
425.00,9.308,34.670,2.42,0.003,0.010
450.00,8.970,34.653,2.42,0.003,0.010
475.00,8.551,34.633,2.42,0.003,0.010
500.00,8.324,34.624,2.42,0.003,0.010
550.00,7.803,34.602,2.42,0.003,0.010
600.00,7.201,34.583,2.42,0.003,0.010
650.00,6.773,34.574,2.42,0.003,0.010
700.00,6.353,34.568,2.42,0.003,0.010
750.00,6.022,34.565,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
