#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1428
#direction_of_profile A
#data_mode D
#profile_date 2017-03-06T03:36:06Z
#profile_latitude 6.519
#profile_longitude -118.781
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,28.001,34.205,2.42,0.003,0.010
5.00,28.008,34.206,2.42,0.003,0.010
10.00,28.008,34.206,2.42,0.003,0.010
15.00,27.988,34.206,2.42,0.003,0.010
20.00,27.947,34.206,2.42,0.003,0.010
25.00,27.933,34.207,2.42,0.003,0.010
30.00,27.875,34.207,2.42,0.003,0.010
35.00,27.866,34.209,2.42,0.003,0.010
40.00,27.860,34.212,2.42,0.003,0.010
45.00,27.848,34.214,2.42,0.008,0.010
50.00,27.836,34.212,2.42,0.008,0.010
55.00,27.831,34.211,2.42,0.008,0.010
60.00,27.800,34.215,2.42,0.008,0.010
65.00,26.390,34.421,2.42,0.008,0.059
70.00,24.896,34.624,2.42,0.008,0.027
75.00,23.902,34.695,2.42,0.008,0.023
80.00,22.448,34.772,2.42,0.008,0.018
85.00,21.229,34.744,2.42,0.008,0.019
90.00,20.487,34.755,2.42,0.003,0.046
95.00,17.882,34.799,2.42,0.007,0.035
100.00,16.538,34.711,2.42,0.007,0.011
105.00,16.076,34.709,2.42,0.007,0.010
110.00,15.691,34.717,2.42,0.007,0.026
115.00,14.496,34.709,2.42,0.007,0.017
120.00,14.126,34.717,2.42,0.007,0.017
125.00,13.435,34.750,2.42,0.007,0.011
130.00,13.272,34.755,2.42,0.007,0.010
135.00,13.167,34.763,2.42,0.007,0.010
140.00,12.977,34.783,2.42,0.003,0.010
145.00,12.858,34.783,2.42,0.003,0.010
150.00,12.527,34.757,2.42,0.003,0.010
155.00,12.423,34.749,2.42,0.003,0.010
160.00,12.133,34.743,2.42,0.003,0.010
165.00,11.937,34.739,2.42,0.003,0.010
170.00,11.809,34.733,2.42,0.003,0.010
175.00,11.712,34.747,2.42,0.003,0.010
180.00,11.481,34.731,2.42,0.003,0.010
185.00,11.312,34.728,2.42,0.003,0.010
190.00,11.284,34.732,2.42,0.003,0.010
195.00,11.253,34.738,2.42,0.003,0.010
200.00,11.109,34.727,2.42,0.003,0.010
205.00,10.967,34.720,2.42,0.003,0.010
210.00,10.894,34.719,2.42,0.003,0.010
215.00,10.777,34.717,2.42,0.003,0.010
220.00,10.752,34.718,2.42,0.003,0.010
225.00,10.700,34.723,2.42,0.003,0.010
230.00,10.627,34.719,2.42,0.003,0.010
235.00,10.530,34.719,2.42,0.003,0.010
240.00,10.516,34.718,2.42,0.003,0.010
245.00,10.511,34.717,2.42,0.003,0.010
250.00,10.495,34.716,2.42,0.003,0.010
260.00,10.408,34.714,2.42,0.003,0.010
270.00,10.241,34.710,2.42,0.003,0.010
280.00,10.133,34.702,2.42,0.003,0.010
290.00,10.053,34.701,2.42,0.003,0.010
300.00,9.993,34.702,2.42,0.003,0.010
310.00,9.900,34.697,2.42,0.003,0.010
320.00,9.839,34.694,2.42,0.003,0.010
330.00,9.744,34.690,2.42,0.003,0.010
340.00,9.629,34.683,2.42,0.003,0.010
350.00,9.505,34.677,2.42,0.003,0.010
375.00,9.172,34.660,2.42,0.003,0.010
400.00,8.915,34.650,2.42,0.003,0.010
425.00,8.574,34.635,2.42,0.003,0.010
450.00,8.205,34.621,2.42,0.003,0.010
475.00,7.963,34.611,2.42,0.003,0.010
500.00,7.637,34.602,2.42,0.003,0.010
550.00,7.279,34.590,2.42,0.003,0.010
600.00,6.847,34.576,2.42,0.003,0.010
650.00,6.363,34.567,2.42,0.003,0.010
700.00,6.029,34.564,2.42,0.003,0.010
750.00,5.697,34.560,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
