#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 875
#direction_of_profile A
#data_mode D
#profile_date 2016-08-15T13:09:13Z
#profile_latitude 2.244
#profile_longitude -104.009
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,25.094,33.795,2.42,0.004,0.010
5.00,24.984,33.879,2.42,0.004,0.033
10.00,23.083,34.669,2.42,0.004,0.019
15.00,22.297,34.900,2.42,0.004,0.019
20.00,21.734,34.973,2.42,0.004,0.010
25.00,21.646,34.977,2.42,0.004,0.010
30.00,21.471,34.979,2.42,0.004,0.013
35.00,20.728,34.982,2.42,0.004,0.018
40.00,20.018,34.978,2.42,0.005,0.017
45.00,19.257,34.996,2.42,0.005,0.024
50.00,18.786,35.005,2.42,0.005,0.018
55.00,17.799,35.037,2.42,0.005,0.043
60.00,16.416,34.990,2.42,0.005,0.010
65.00,16.268,34.997,2.42,0.005,0.010
70.00,15.944,34.999,2.42,0.005,0.012
75.00,15.466,34.965,2.42,0.005,0.010
80.00,15.163,34.949,2.42,0.005,0.010
85.00,14.961,34.953,2.42,0.005,0.010
90.00,14.776,34.947,2.42,0.005,0.010
95.00,14.638,34.946,2.42,0.002,0.010
100.00,14.539,34.947,2.42,0.002,0.010
105.00,14.309,34.943,2.42,0.002,0.010
110.00,14.260,34.940,2.42,0.002,0.010
115.00,14.173,34.938,2.42,0.002,0.010
120.00,14.070,34.933,2.42,0.002,0.010
125.00,14.048,34.931,2.42,0.002,0.010
130.00,13.976,34.931,2.42,0.002,0.010
135.00,13.907,34.927,2.42,0.002,0.010
140.00,13.767,34.927,2.42,0.003,0.010
145.00,13.593,34.915,2.42,0.003,0.010
150.00,13.545,34.914,2.42,0.003,0.010
155.00,13.534,34.914,2.42,0.003,0.010
160.00,13.529,34.914,2.42,0.003,0.010
165.00,13.512,34.915,2.42,0.003,0.010
170.00,13.365,34.909,2.42,0.003,0.010
175.00,13.333,34.910,2.42,0.003,0.010
180.00,13.267,34.911,2.42,0.003,0.010
185.00,13.194,34.910,2.42,0.003,0.010
190.00,13.139,34.908,2.42,0.002,0.010
195.00,13.035,34.901,2.42,0.002,0.010
200.00,13.008,34.900,2.42,0.002,0.010
205.00,12.936,34.894,2.42,0.002,0.010
210.00,12.831,34.889,2.42,0.002,0.010
215.00,12.749,34.883,2.42,0.002,0.010
220.00,12.714,34.879,2.42,0.002,0.010
225.00,12.682,34.877,2.42,0.002,0.010
230.00,12.624,34.874,2.42,0.002,0.010
235.00,12.547,34.867,2.42,0.002,0.010
240.00,12.526,34.864,2.42,0.002,0.010
245.00,12.482,34.861,2.42,0.003,0.010
250.00,12.428,34.857,2.42,0.003,0.010
260.00,,,2.42,,
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
