#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1491
#direction_of_profile A
#data_mode D
#profile_date 2017-04-08T00:35:47Z
#profile_latitude 5.818
#profile_longitude -118.637
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,29.362,34.166,2.42,0.003,0.010
5.00,29.214,34.165,2.42,0.003,0.010
10.00,28.924,34.169,2.42,0.003,0.010
15.00,28.894,34.169,2.42,0.003,0.010
20.00,28.891,34.170,2.42,0.003,0.010
25.00,28.894,34.173,2.42,0.003,0.010
30.00,28.881,34.175,2.42,0.003,0.010
35.00,28.871,34.176,2.42,0.003,0.010
40.00,28.861,34.177,2.42,0.003,0.010
45.00,28.851,34.177,2.42,0.007,0.010
50.00,28.781,34.194,2.42,0.007,0.017
55.00,28.002,34.217,2.42,0.007,0.010
60.00,27.306,34.324,2.42,0.007,0.053
65.00,24.643,34.598,2.42,0.007,0.053
70.00,22.081,34.609,2.42,0.007,0.026
75.00,20.073,34.657,2.42,0.007,0.049
80.00,18.865,34.778,2.42,0.007,0.021
85.00,17.947,34.759,2.42,0.007,0.019
90.00,17.041,34.752,2.42,0.003,0.021
95.00,16.014,34.769,2.42,0.004,0.021
100.00,15.631,34.755,2.42,0.004,0.021
105.00,14.811,34.763,2.42,0.004,0.020
110.00,14.285,34.739,2.42,0.004,0.010
115.00,14.001,34.724,2.42,0.004,0.010
120.00,13.657,34.730,2.42,0.004,0.010
125.00,13.479,34.755,2.42,0.004,0.010
130.00,13.078,34.775,2.42,0.004,0.010
135.00,12.751,34.775,2.42,0.004,0.010
140.00,12.611,34.766,2.42,0.003,0.010
145.00,12.469,34.776,2.42,0.003,0.010
150.00,12.215,34.762,2.42,0.003,0.010
155.00,12.081,34.754,2.42,0.003,0.010
160.00,11.969,34.750,2.42,0.003,0.010
165.00,11.841,34.746,2.42,0.003,0.010
170.00,11.788,34.752,2.42,0.003,0.010
175.00,11.645,34.750,2.42,0.003,0.010
180.00,11.489,34.735,2.42,0.003,0.010
185.00,11.401,34.748,2.42,0.003,0.010
190.00,11.287,34.750,2.42,0.003,0.010
195.00,11.227,34.749,2.42,0.003,0.010
200.00,11.139,34.750,2.42,0.003,0.010
205.00,11.069,34.744,2.42,0.003,0.010
210.00,11.004,34.747,2.42,0.003,0.010
215.00,10.909,34.742,2.42,0.003,0.010
220.00,10.863,34.739,2.42,0.003,0.010
225.00,10.819,34.736,2.42,0.003,0.010
230.00,10.748,34.735,2.42,0.003,0.010
235.00,10.641,34.729,2.42,0.003,0.010
240.00,10.578,34.727,2.42,0.003,0.010
245.00,10.514,34.721,2.42,0.003,0.010
250.00,10.443,34.716,2.42,0.003,0.010
260.00,10.351,34.706,2.42,0.003,0.010
270.00,10.236,34.707,2.42,0.003,0.010
280.00,10.159,34.703,2.42,0.003,0.010
290.00,10.097,34.704,2.42,0.003,0.010
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
