#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 171
#direction_of_profile A
#data_mode D
#profile_date 2014-06-19T06:00:09Z
#profile_latitude 0.234
#profile_longitude -110.856
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.783,34.085,2.42,0.005,0.010
5.00,27.790,34.085,2.42,0.005,0.010
10.00,27.790,34.085,2.42,0.005,0.010
15.00,27.797,34.085,2.42,0.005,0.010
20.00,27.790,34.085,2.42,0.005,0.010
25.00,27.790,34.082,2.42,0.005,0.010
30.00,27.797,34.088,2.42,0.005,0.010
35.00,27.695,34.170,2.42,0.005,0.038
40.00,26.303,34.592,2.42,0.003,0.016
45.00,25.107,34.718,2.42,0.005,0.028
50.00,23.621,34.804,2.42,0.005,0.029
55.00,22.498,34.812,2.42,0.005,0.013
60.00,21.827,34.820,2.42,0.005,0.017
65.00,20.924,34.826,2.42,0.005,0.017
70.00,20.195,34.839,2.42,0.005,0.016
75.00,19.490,34.879,2.42,0.005,0.034
80.00,18.335,34.886,2.42,0.005,0.010
85.00,18.173,34.901,2.42,0.005,0.011
90.00,17.560,34.848,2.42,0.003,0.019
95.00,16.535,34.831,2.42,0.005,0.031
100.00,15.964,34.920,2.42,0.005,0.010
105.00,15.786,34.902,2.42,0.005,0.010
110.00,15.466,34.885,2.42,0.005,0.012
115.00,15.002,34.848,2.42,0.005,0.010
120.00,14.842,34.837,2.42,0.005,0.010
125.00,14.578,34.836,2.42,0.005,0.010
130.00,14.506,34.839,2.42,0.005,0.010
135.00,14.250,34.867,2.42,0.005,0.010
140.00,14.177,34.931,2.42,0.003,0.010
145.00,14.163,34.946,2.42,0.003,0.010
150.00,13.906,34.926,2.42,0.003,0.010
155.00,13.584,34.908,2.42,0.003,0.010
160.00,13.291,34.920,2.42,0.003,0.010
165.00,13.308,34.935,2.42,0.003,0.010
170.00,13.249,34.930,2.42,0.003,0.010
175.00,13.182,34.920,2.42,0.003,0.010
180.00,13.149,34.915,2.42,0.003,0.010
185.00,13.113,34.909,2.42,0.003,0.010
190.00,13.064,34.906,2.42,0.003,0.010
195.00,13.000,34.903,2.42,0.003,0.010
200.00,12.944,34.904,2.42,0.003,0.010
205.00,12.838,34.899,2.42,0.003,0.010
210.00,12.642,34.884,2.42,0.003,0.010
215.00,12.639,34.882,2.42,0.003,0.010
220.00,12.638,34.882,2.42,0.003,0.010
225.00,12.635,34.882,2.42,0.003,0.010
230.00,12.630,34.881,2.42,0.003,0.010
235.00,12.629,34.881,2.42,0.003,0.010
240.00,12.629,34.881,2.42,0.003,0.010
245.00,12.626,34.880,2.42,0.003,0.010
250.00,12.625,34.880,2.42,0.003,0.010
260.00,,,2.42,,
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
