#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1958
#direction_of_profile A
#data_mode D
#profile_date 2017-11-20T06:03:43Z
#profile_latitude 7.571
#profile_longitude -112.817
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.614,33.205,2.42,0.003,0.010
5.00,27.621,33.205,2.42,0.003,0.010
10.00,27.621,33.206,2.42,0.003,0.010
15.00,27.626,33.216,2.42,0.003,0.010
20.00,27.599,33.234,2.42,0.003,0.010
25.00,27.620,33.253,2.42,0.003,0.010
30.00,27.625,33.266,2.42,0.003,0.010
35.00,27.638,33.289,2.42,0.003,0.010
40.00,27.655,33.311,2.42,0.003,0.010
45.00,27.681,33.378,2.42,0.012,0.010
50.00,27.795,33.664,2.42,0.012,0.010
55.00,27.483,34.038,2.42,0.012,0.010
60.00,27.128,34.216,2.42,0.012,0.025
65.00,26.009,34.303,2.42,0.012,0.044
70.00,22.547,34.613,2.42,0.012,0.064
75.00,20.625,34.605,2.42,0.012,0.010
80.00,19.554,34.667,2.42,0.012,0.057
85.00,17.417,34.725,2.42,0.012,0.045
90.00,15.891,34.755,2.42,0.003,0.013
95.00,15.092,34.792,2.42,0.004,0.030
100.00,14.246,34.796,2.42,0.004,0.010
105.00,13.804,34.799,2.42,0.004,0.010
110.00,13.667,34.801,2.42,0.004,0.010
115.00,13.435,34.807,2.42,0.004,0.010
120.00,13.111,34.798,2.42,0.004,0.010
125.00,13.046,34.808,2.42,0.004,0.010
130.00,12.946,34.805,2.42,0.004,0.010
135.00,12.898,34.802,2.42,0.004,0.010
140.00,12.803,34.802,2.42,0.003,0.010
145.00,12.779,34.802,2.42,0.003,0.010
150.00,12.724,34.810,2.42,0.003,0.010
155.00,12.577,34.816,2.42,0.003,0.010
160.00,12.469,34.811,2.42,0.003,0.010
165.00,12.282,34.803,2.42,0.003,0.010
170.00,12.216,34.799,2.42,0.003,0.010
175.00,12.072,34.795,2.42,0.003,0.010
180.00,11.949,34.786,2.42,0.003,0.010
185.00,11.807,34.781,2.42,0.003,0.010
190.00,11.717,34.776,2.42,0.003,0.010
195.00,11.576,34.766,2.42,0.003,0.010
200.00,11.493,34.763,2.42,0.003,0.010
205.00,11.420,34.760,2.42,0.003,0.010
210.00,11.382,34.758,2.42,0.003,0.010
215.00,11.343,34.757,2.42,0.003,0.010
220.00,11.306,34.756,2.42,0.003,0.010
225.00,11.232,34.754,2.42,0.003,0.010
230.00,11.201,34.752,2.42,0.003,0.010
235.00,11.143,34.750,2.42,0.003,0.010
240.00,11.103,34.748,2.42,0.003,0.010
245.00,11.055,34.747,2.42,0.003,0.010
250.00,10.971,34.744,2.42,0.003,0.010
260.00,10.892,34.741,2.42,0.003,0.010
270.00,10.783,34.738,2.42,0.003,0.010
280.00,10.674,34.733,2.42,0.003,0.010
290.00,10.568,34.728,2.42,0.003,0.010
300.00,10.408,34.721,2.42,0.003,0.010
310.00,10.357,34.718,2.42,0.003,0.010
320.00,10.264,34.714,2.42,0.003,0.010
330.00,10.132,34.709,2.42,0.003,0.010
340.00,10.012,34.702,2.42,0.003,0.010
350.00,9.920,34.698,2.42,0.003,0.010
375.00,9.756,34.691,2.42,0.003,0.010
400.00,9.546,34.681,2.42,0.003,0.010
425.00,9.305,34.664,2.42,0.003,0.010
450.00,9.023,34.649,2.42,0.003,0.010
475.00,8.594,34.633,2.42,0.003,0.010
500.00,8.165,34.614,2.42,0.003,0.010
550.00,7.621,34.598,2.42,0.003,0.010
600.00,7.080,34.580,2.42,0.003,0.010
650.00,6.691,34.571,2.42,0.003,0.010
700.00,6.335,34.565,2.42,0.003,0.010
750.00,5.885,34.560,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
