#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 377
#direction_of_profile A
#data_mode D
#profile_date 2014-12-07T11:31:28Z
#profile_latitude 1.936
#profile_longitude -104.983
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,24.450,34.147,2.42,0.003,0.010
5.00,24.456,34.146,2.42,0.003,0.010
10.00,24.458,34.147,2.42,0.003,0.010
15.00,24.426,34.153,2.42,0.003,0.010
20.00,24.388,34.162,2.42,0.003,0.010
25.00,24.281,34.190,2.42,0.003,0.010
30.00,24.091,34.232,2.42,0.003,0.010
35.00,23.966,34.264,2.42,0.003,0.010
40.00,23.787,34.305,2.42,0.003,0.010
45.00,23.740,34.325,2.42,0.004,0.010
50.00,23.587,34.371,2.42,0.004,0.010
55.00,23.102,34.480,2.42,0.004,0.012
60.00,22.397,34.590,2.42,0.004,0.012
65.00,21.867,34.581,2.42,0.004,0.015
70.00,20.957,34.654,2.42,0.004,0.014
75.00,20.289,34.705,2.42,0.004,0.014
80.00,19.747,34.727,2.42,0.004,0.010
85.00,19.110,34.768,2.42,0.004,0.028
90.00,17.343,34.845,2.42,0.003,0.028
95.00,15.666,34.883,2.42,0.005,0.033
100.00,15.219,34.901,2.42,0.005,0.017
105.00,14.572,34.924,2.42,0.005,0.010
110.00,14.403,34.935,2.42,0.005,0.010
115.00,14.292,34.937,2.42,0.005,0.010
120.00,14.164,34.934,2.42,0.005,0.010
125.00,14.093,34.938,2.42,0.005,0.010
130.00,13.913,34.936,2.42,0.005,0.010
135.00,13.822,34.934,2.42,0.005,0.010
140.00,13.788,34.933,2.42,0.003,0.010
145.00,13.739,34.932,2.42,0.003,0.010
150.00,13.690,34.930,2.42,0.003,0.010
155.00,13.669,34.929,2.42,0.003,0.010
160.00,13.636,34.929,2.42,0.003,0.010
165.00,13.623,34.932,2.42,0.003,0.010
170.00,13.580,34.931,2.42,0.003,0.010
175.00,13.514,34.931,2.42,0.003,0.010
180.00,13.429,34.925,2.42,0.003,0.010
185.00,13.362,34.925,2.42,0.003,0.010
190.00,13.307,34.921,2.42,0.003,0.010
195.00,13.253,34.919,2.42,0.003,0.010
200.00,13.213,34.917,2.42,0.003,0.010
205.00,13.185,34.915,2.42,0.003,0.010
210.00,13.142,34.912,2.42,0.003,0.010
215.00,13.091,34.909,2.42,0.003,0.010
220.00,13.058,34.908,2.42,0.003,0.010
225.00,12.995,34.904,2.42,0.003,0.010
230.00,12.925,34.899,2.42,0.003,0.010
235.00,12.800,34.891,2.42,0.003,0.010
240.00,12.732,34.888,2.42,0.003,0.010
245.00,12.705,34.885,2.42,0.003,0.010
250.00,12.678,34.884,2.42,0.003,0.010
260.00,,,2.42,,
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
