#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 812
#direction_of_profile A
#data_mode D
#profile_date 2016-07-05T00:21:23Z
#profile_latitude 2.615
#profile_longitude -102.207
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,26.169,33.891,2.42,0.006,0.010
5.00,26.178,33.891,2.42,0.006,0.010
10.00,26.178,33.891,2.42,0.006,0.010
15.00,26.178,33.891,2.42,0.006,0.010
20.00,26.152,33.906,2.42,0.006,0.010
25.00,25.515,34.284,2.42,0.006,0.051
30.00,23.703,34.847,2.42,0.006,0.010
35.00,23.299,34.874,2.42,0.006,0.018
40.00,22.482,34.933,2.42,0.002,0.033
45.00,20.336,34.951,2.42,0.007,0.050
50.00,19.088,34.927,2.42,0.007,0.019
55.00,18.518,34.951,2.42,0.007,0.010
60.00,18.102,35.015,2.42,0.007,0.018
65.00,17.357,35.006,2.42,0.007,0.022
70.00,16.512,34.999,2.42,0.007,0.010
75.00,16.303,35.000,2.42,0.007,0.010
80.00,16.182,35.001,2.42,0.007,0.010
85.00,16.151,35.004,2.42,0.007,0.010
90.00,15.948,35.003,2.42,0.004,0.010
95.00,15.642,34.990,2.42,0.004,0.020
100.00,15.011,34.989,2.42,0.004,0.010
105.00,14.897,34.993,2.42,0.004,0.010
110.00,14.726,34.975,2.42,0.004,0.010
115.00,14.549,34.953,2.42,0.004,0.010
120.00,14.558,34.965,2.42,0.004,0.010
125.00,14.526,34.980,2.42,0.004,0.010
130.00,14.462,34.978,2.42,0.004,0.010
135.00,14.453,34.978,2.42,0.004,0.010
140.00,14.404,34.976,2.42,0.003,0.010
145.00,14.332,34.971,2.42,0.003,0.010
150.00,14.271,34.968,2.42,0.003,0.010
155.00,14.082,34.958,2.42,0.003,0.010
160.00,14.036,34.954,2.42,0.003,0.010
165.00,13.999,34.954,2.42,0.003,0.010
170.00,13.763,34.942,2.42,0.003,0.010
175.00,13.707,34.940,2.42,0.003,0.010
180.00,13.650,34.937,2.42,0.003,0.010
185.00,13.556,34.933,2.42,0.003,0.010
190.00,13.510,34.930,2.42,0.003,0.010
195.00,13.461,34.927,2.42,0.002,0.010
200.00,13.427,34.925,2.42,0.002,0.010
205.00,13.380,34.924,2.42,0.002,0.010
210.00,13.317,34.921,2.42,0.002,0.010
215.00,13.287,34.920,2.42,0.002,0.010
220.00,13.256,34.917,2.42,0.002,0.010
225.00,13.225,34.915,2.42,0.002,0.010
230.00,13.187,34.914,2.42,0.002,0.010
235.00,13.134,34.911,2.42,0.002,0.010
240.00,13.106,34.909,2.42,0.002,0.010
245.00,13.081,34.907,2.42,0.002,0.010
250.00,13.051,34.905,2.42,0.002,0.010
260.00,12.910,34.895,2.42,0.002,0.010
270.00,12.779,34.887,2.42,0.002,0.010
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
