#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 230
#direction_of_profile A
#data_mode D
#profile_date 2014-08-09T23:44:15Z
#profile_latitude 0.619
#profile_longitude -104.699
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,24.723,34.089,2.42,0.005,0.010
5.00,24.586,34.099,2.42,0.005,0.010
10.00,24.197,34.181,2.42,0.005,0.011
15.00,23.433,34.361,2.42,0.005,0.021
20.00,22.455,34.582,2.42,0.005,0.021
25.00,21.387,34.653,2.42,0.005,0.019
30.00,20.362,34.773,2.42,0.005,0.032
35.00,19.126,34.830,2.42,0.005,0.018
40.00,18.287,34.847,2.42,0.005,0.016
45.00,17.662,34.897,2.42,0.004,0.017
50.00,17.040,34.912,2.42,0.004,0.010
55.00,16.606,34.915,2.42,0.004,0.017
60.00,15.894,34.901,2.42,0.004,0.010
65.00,15.656,34.889,2.42,0.004,0.010
70.00,15.462,34.881,2.42,0.004,0.010
75.00,15.284,34.875,2.42,0.004,0.010
80.00,15.063,34.877,2.42,0.004,0.010
85.00,14.668,34.878,2.42,0.004,0.010
90.00,14.585,34.879,2.42,0.003,0.010
95.00,14.505,34.883,2.42,0.003,0.010
100.00,14.465,34.881,2.42,0.003,0.010
105.00,14.448,34.881,2.42,0.003,0.010
110.00,14.421,34.880,2.42,0.003,0.010
115.00,14.389,34.877,2.42,0.003,0.010
120.00,14.369,34.876,2.42,0.003,0.010
125.00,14.115,34.887,2.42,0.003,0.010
130.00,13.906,34.900,2.42,0.003,0.010
135.00,13.831,34.905,2.42,0.003,0.010
140.00,13.807,34.911,2.42,0.003,0.010
145.00,13.787,34.916,2.42,0.003,0.010
150.00,13.748,34.911,2.42,0.003,0.010
155.00,13.721,34.909,2.42,0.003,0.010
160.00,13.682,34.906,2.42,0.003,0.010
165.00,13.650,34.909,2.42,0.003,0.010
170.00,13.608,34.914,2.42,0.003,0.010
175.00,13.560,34.908,2.42,0.003,0.010
180.00,13.523,34.909,2.42,0.003,0.010
185.00,13.463,34.914,2.42,0.003,0.010
190.00,13.411,34.909,2.42,0.003,0.010
195.00,13.385,34.907,2.42,0.003,0.010
200.00,13.367,34.906,2.42,0.003,0.010
205.00,13.325,34.911,2.42,0.003,0.010
210.00,13.272,34.912,2.42,0.003,0.010
215.00,13.222,34.910,2.42,0.003,0.010
220.00,13.182,34.907,2.42,0.003,0.010
225.00,13.138,34.911,2.42,0.003,0.010
230.00,13.004,34.910,2.42,0.003,0.010
235.00,12.911,34.902,2.42,0.003,0.010
240.00,12.861,34.899,2.42,0.003,0.010
245.00,12.821,34.898,2.42,0.003,0.010
250.00,12.746,34.892,2.42,0.003,0.010
260.00,12.607,34.886,2.42,0.003,0.010
270.00,12.553,34.879,2.42,0.003,0.010
280.00,12.375,34.862,2.42,0.003,0.010
290.00,12.209,34.848,2.42,0.003,0.010
300.00,11.770,34.820,2.42,0.003,0.010
310.00,11.504,34.820,2.42,0.003,0.010
320.00,11.192,34.800,2.42,0.003,0.010
330.00,11.096,34.795,2.42,0.003,0.010
340.00,10.967,34.788,2.42,0.003,0.010
350.00,10.687,34.771,2.42,0.003,0.010
375.00,9.948,34.727,2.42,0.003,0.010
400.00,9.780,34.716,2.42,0.003,0.010
425.00,9.381,34.692,2.42,0.003,0.010
450.00,9.067,34.671,2.42,0.003,0.010
475.00,8.298,34.630,2.42,0.003,0.010
500.00,7.958,34.617,2.42,0.003,0.010
550.00,7.753,34.605,2.42,0.003,0.010
600.00,7.128,34.585,2.42,0.003,0.010
650.00,6.708,34.567,2.42,0.003,0.010
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
