#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1003
#direction_of_profile A
#data_mode D
#profile_date 2016-10-19T03:37:16Z
#profile_latitude 1.642
#profile_longitude -107.279
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,21.996,34.624,2.42,0.003,0.010
5.00,21.998,34.624,2.42,0.003,0.010
10.00,21.998,34.624,2.42,0.003,0.010
15.00,21.990,34.622,2.42,0.003,0.010
20.00,21.942,34.617,2.42,0.003,0.010
25.00,21.854,34.611,2.42,0.003,0.010
30.00,21.588,34.613,2.42,0.003,0.010
35.00,21.274,34.627,2.42,0.003,0.010
40.00,20.797,34.680,2.42,0.004,0.014
45.00,20.410,34.723,2.42,0.004,0.010
50.00,19.628,34.792,2.42,0.004,0.011
55.00,19.268,34.813,2.42,0.004,0.010
60.00,19.108,34.832,2.42,0.004,0.012
65.00,18.373,34.903,2.42,0.004,0.020
70.00,17.388,34.966,2.42,0.004,0.010
75.00,16.880,34.995,2.42,0.004,0.017
80.00,16.139,34.990,2.42,0.004,0.010
85.00,15.872,34.985,2.42,0.004,0.010
90.00,15.502,34.978,2.42,0.003,0.010
95.00,15.245,34.971,2.42,0.003,0.010
100.00,15.054,34.969,2.42,0.003,0.010
105.00,14.828,34.956,2.42,0.003,0.010
110.00,14.654,34.953,2.42,0.003,0.010
115.00,14.502,34.950,2.42,0.003,0.010
120.00,14.385,34.949,2.42,0.003,0.010
125.00,14.328,34.949,2.42,0.003,0.010
130.00,14.152,34.950,2.42,0.003,0.010
135.00,14.059,34.950,2.42,0.003,0.010
140.00,13.970,34.948,2.42,0.003,0.010
145.00,13.861,34.946,2.42,0.003,0.010
150.00,13.853,34.947,2.42,0.003,0.010
155.00,13.832,34.947,2.42,0.003,0.010
160.00,13.794,34.946,2.42,0.003,0.010
165.00,13.649,34.940,2.42,0.003,0.010
170.00,13.488,34.929,2.42,0.003,0.010
175.00,13.436,34.926,2.42,0.003,0.010
180.00,13.346,34.921,2.42,0.003,0.010
185.00,13.264,34.916,2.42,0.003,0.010
190.00,13.213,34.912,2.42,0.003,0.010
195.00,13.097,34.906,2.42,0.003,0.010
200.00,13.031,34.902,2.42,0.003,0.010
205.00,13.004,34.900,2.42,0.003,0.010
210.00,12.988,34.900,2.42,0.003,0.010
215.00,12.870,34.892,2.42,0.003,0.010
220.00,12.837,34.889,2.42,0.003,0.010
225.00,12.746,34.884,2.42,0.003,0.010
230.00,12.612,34.875,2.42,0.003,0.010
235.00,12.557,34.870,2.42,0.003,0.010
240.00,12.504,34.865,2.42,0.003,0.010
245.00,12.465,34.862,2.42,0.003,0.010
250.00,12.397,34.859,2.42,0.003,0.010
260.00,12.158,34.841,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
