#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 778
#direction_of_profile A
#data_mode D
#profile_date 2016-06-24T03:29:17Z
#profile_latitude 2.603
#profile_longitude -101.420
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,26.961,33.795,2.42,0.012,0.010
5.00,26.961,33.797,2.42,0.012,0.010
10.00,26.961,33.795,2.42,0.012,0.010
15.00,26.950,33.811,2.42,0.012,0.010
20.00,26.574,34.003,2.42,0.012,0.020
25.00,25.365,34.451,2.42,0.012,0.036
30.00,23.076,34.909,2.42,0.012,0.100
35.00,18.802,35.003,2.42,0.012,0.027
40.00,18.561,34.976,2.42,0.004,0.010
45.00,18.501,34.963,2.42,0.004,0.010
50.00,18.433,34.953,2.42,0.004,0.010
55.00,18.248,34.927,2.42,0.004,0.010
60.00,18.072,34.926,2.42,0.004,0.012
65.00,17.536,34.889,2.42,0.004,0.013
70.00,16.913,34.858,2.42,0.004,0.010
75.00,16.568,34.905,2.42,0.004,0.022
80.00,15.837,34.966,2.42,0.004,0.014
85.00,15.417,34.958,2.42,0.004,0.010
90.00,15.085,34.915,2.42,0.002,0.010
95.00,14.827,34.888,2.42,0.002,0.010
100.00,14.610,34.876,2.42,0.002,0.010
105.00,14.465,34.891,2.42,0.002,0.010
110.00,14.440,34.916,2.42,0.002,0.010
115.00,14.370,34.926,2.42,0.002,0.010
120.00,14.237,34.936,2.42,0.002,0.010
125.00,14.217,34.953,2.42,0.002,0.010
130.00,14.183,34.959,2.42,0.002,0.010
135.00,14.147,34.961,2.42,0.002,0.010
140.00,14.115,34.960,2.42,0.002,0.010
145.00,14.105,34.959,2.42,0.002,0.010
150.00,14.102,34.960,2.42,0.002,0.010
155.00,14.064,34.957,2.42,0.002,0.010
160.00,13.910,34.951,2.42,0.002,0.010
165.00,13.787,34.942,2.42,0.002,0.010
170.00,13.712,34.938,2.42,0.002,0.010
175.00,13.646,34.935,2.42,0.002,0.010
180.00,13.607,34.932,2.42,0.002,0.010
185.00,13.557,34.929,2.42,0.002,0.010
190.00,13.511,34.928,2.42,0.002,0.010
195.00,13.435,34.925,2.42,0.002,0.010
200.00,13.347,34.916,2.42,0.002,0.010
205.00,13.281,34.916,2.42,0.002,0.010
210.00,13.225,34.914,2.42,0.002,0.010
215.00,13.157,34.911,2.42,0.002,0.010
220.00,13.043,34.900,2.42,0.002,0.010
225.00,13.000,34.901,2.42,0.002,0.010
230.00,12.875,34.891,2.42,0.002,0.010
235.00,12.850,34.889,2.42,0.002,0.010
240.00,12.806,34.886,2.42,0.002,0.010
245.00,12.734,34.883,2.42,0.002,0.010
250.00,12.651,34.874,2.42,0.002,0.010
260.00,12.537,34.869,2.42,0.002,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
