#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 686
#direction_of_profile A
#data_mode D
#profile_date 2015-08-31T17:13:54Z
#profile_latitude 0.540
#profile_longitude -102.744
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,24.667,34.927,2.42,0.003,0.010
5.00,24.548,34.924,2.42,0.003,0.010
10.00,24.502,34.923,2.42,0.003,0.010
15.00,24.455,34.922,2.42,0.003,0.010
20.00,24.394,34.922,2.42,0.003,0.010
25.00,24.335,34.921,2.42,0.003,0.010
30.00,24.229,34.923,2.42,0.003,0.010
35.00,24.071,34.927,2.42,0.003,0.010
40.00,23.950,34.933,2.42,0.003,0.010
45.00,23.739,34.945,2.42,0.005,0.010
50.00,23.542,34.959,2.42,0.005,0.010
55.00,23.292,34.969,2.42,0.005,0.010
60.00,22.822,34.962,2.42,0.005,0.017
65.00,21.885,34.933,2.42,0.005,0.014
70.00,21.314,34.950,2.42,0.005,0.014
75.00,20.789,34.950,2.42,0.005,0.010
80.00,20.272,34.952,2.42,0.005,0.022
85.00,18.852,34.991,2.42,0.005,0.031
90.00,18.543,35.142,2.42,0.003,0.010
95.00,18.262,35.119,2.42,0.004,0.010
100.00,18.070,35.121,2.42,0.004,0.010
105.00,17.682,35.154,2.42,0.004,0.023
110.00,16.699,35.009,2.42,0.004,0.010
115.00,16.227,34.979,2.42,0.004,0.010
120.00,16.275,35.087,2.42,0.004,0.010
125.00,16.112,35.129,2.42,0.004,0.010
130.00,15.835,35.154,2.42,0.004,0.010
135.00,15.459,35.086,2.42,0.004,0.010
140.00,15.314,35.079,2.42,0.003,0.010
145.00,15.129,35.056,2.42,0.004,0.010
150.00,14.882,35.015,2.42,0.004,0.010
155.00,14.572,34.976,2.42,0.004,0.015
160.00,14.066,34.946,2.42,0.004,0.010
165.00,14.044,34.972,2.42,0.004,0.010
170.00,13.982,34.970,2.42,0.004,0.010
175.00,13.945,34.969,2.42,0.004,0.010
180.00,13.866,34.962,2.42,0.004,0.010
185.00,13.785,34.953,2.42,0.004,0.010
190.00,13.707,34.951,2.42,0.003,0.010
195.00,13.652,34.948,2.42,0.003,0.010
200.00,13.605,34.945,2.42,0.003,0.010
205.00,13.562,34.940,2.42,0.003,0.010
210.00,13.486,34.933,2.42,0.003,0.010
215.00,13.384,34.925,2.42,0.003,0.010
220.00,13.300,34.921,2.42,0.003,0.010
225.00,13.231,34.917,2.42,0.003,0.010
230.00,13.120,34.912,2.42,0.003,0.010
235.00,13.061,34.908,2.42,0.003,0.010
240.00,13.016,34.907,2.42,0.003,0.010
245.00,12.976,34.906,2.42,0.003,0.010
250.00,12.934,34.905,2.42,0.003,0.010
260.00,12.791,34.896,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
