#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1858
#direction_of_profile A
#data_mode D
#profile_date 2017-09-02T01:11:04Z
#profile_latitude 7.320
#profile_longitude -113.985
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,28.205,33.257,2.42,0.003,0.010
5.00,28.206,33.257,2.42,0.003,0.010
10.00,28.203,33.257,2.42,0.003,0.010
15.00,28.208,33.257,2.42,0.003,0.010
20.00,28.201,33.259,2.42,0.003,0.010
25.00,28.176,33.264,2.42,0.003,0.010
30.00,28.143,33.268,2.42,0.003,0.010
35.00,28.140,33.269,2.42,0.003,0.010
40.00,28.147,33.273,2.42,0.003,0.010
45.00,28.147,33.277,2.42,0.009,0.010
50.00,28.161,33.288,2.42,0.009,0.010
55.00,28.116,33.550,2.42,0.009,0.021
60.00,26.980,34.083,2.42,0.009,0.021
65.00,25.805,34.177,2.42,0.009,0.019
70.00,25.123,34.228,2.42,0.009,0.021
75.00,23.823,34.301,2.42,0.009,0.026
80.00,21.542,34.476,2.42,0.009,0.045
85.00,20.055,34.544,2.42,0.009,0.028
90.00,18.427,34.649,2.42,0.004,0.028
95.00,17.216,34.696,2.42,0.004,0.010
100.00,17.026,34.701,2.42,0.004,0.010
105.00,16.892,34.712,2.42,0.004,0.028
110.00,15.851,34.748,2.42,0.004,0.011
115.00,15.210,34.761,2.42,0.004,0.016
120.00,14.576,34.758,2.42,0.004,0.011
125.00,13.920,34.786,2.42,0.004,0.011
130.00,13.687,34.796,2.42,0.004,0.010
135.00,13.253,34.793,2.42,0.004,0.010
140.00,12.833,34.761,2.42,0.004,0.013
145.00,12.781,34.833,2.42,0.003,0.010
150.00,12.531,34.822,2.42,0.003,0.010
155.00,12.487,34.824,2.42,0.003,0.010
160.00,12.357,34.819,2.42,0.003,0.010
165.00,12.274,34.815,2.42,0.003,0.010
170.00,12.166,34.811,2.42,0.003,0.010
175.00,12.074,34.810,2.42,0.003,0.010
180.00,11.957,34.806,2.42,0.003,0.010
185.00,11.866,34.797,2.42,0.003,0.010
190.00,11.791,34.792,2.42,0.003,0.010
195.00,11.728,34.788,2.42,0.003,0.010
200.00,11.667,34.784,2.42,0.003,0.010
205.00,11.562,34.775,2.42,0.003,0.010
210.00,11.435,34.761,2.42,0.003,0.010
215.00,11.379,34.758,2.42,0.003,0.010
220.00,11.349,34.760,2.42,0.003,0.010
225.00,11.278,34.759,2.42,0.003,0.010
230.00,11.225,34.755,2.42,0.003,0.010
235.00,11.180,34.755,2.42,0.003,0.010
240.00,11.109,34.752,2.42,0.003,0.010
245.00,11.024,34.744,2.42,0.003,0.010
250.00,10.984,34.743,2.42,0.003,0.010
260.00,10.918,34.741,2.42,0.003,0.010
270.00,10.839,34.740,2.42,0.003,0.010
280.00,10.759,34.738,2.42,0.003,0.010
290.00,10.712,34.738,2.42,0.003,0.010
300.00,10.608,34.734,2.42,0.003,0.010
310.00,10.495,34.729,2.42,0.003,0.010
320.00,10.368,34.721,2.42,0.003,0.010
330.00,10.350,34.721,2.42,0.003,0.010
340.00,10.232,34.716,2.42,0.003,0.010
350.00,10.138,34.710,2.42,0.003,0.010
375.00,9.900,34.700,2.42,0.003,0.010
400.00,9.646,34.689,2.42,0.003,0.010
425.00,9.327,34.671,2.42,0.003,0.010
450.00,9.217,34.665,2.42,0.003,0.010
475.00,8.887,34.649,2.42,0.003,0.010
500.00,8.601,34.637,2.42,0.003,0.010
550.00,8.133,34.615,2.42,0.003,0.010
600.00,7.443,34.590,2.42,0.003,0.010
650.00,6.986,34.577,2.42,0.003,0.010
700.00,6.578,34.570,2.42,0.003,0.010
750.00,6.144,34.566,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
