#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1055
#direction_of_profile A
#data_mode D
#profile_date 2016-11-12T16:43:50Z
#profile_latitude 2.869
#profile_longitude -108.777
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,25.602,33.402,2.42,0.007,0.010
5.00,25.602,33.403,2.42,0.007,0.010
10.00,25.591,33.402,2.42,0.007,0.010
15.00,25.602,33.402,2.42,0.007,0.010
20.00,25.602,33.402,2.42,0.007,0.010
25.00,25.602,33.402,2.42,0.007,0.010
30.00,25.602,33.398,2.42,0.007,0.010
35.00,25.549,33.450,2.42,0.007,0.056
40.00,23.685,34.028,2.42,0.003,0.021
45.00,22.449,34.540,2.42,0.005,0.037
50.00,20.817,34.721,2.42,0.005,0.024
55.00,19.568,34.788,2.42,0.005,0.024
60.00,18.460,34.859,2.42,0.005,0.022
65.00,17.948,34.889,2.42,0.005,0.013
70.00,17.469,34.935,2.42,0.005,0.031
75.00,16.176,34.959,2.42,0.005,0.010
80.00,15.971,34.982,2.42,0.005,0.018
85.00,15.498,34.977,2.42,0.005,0.010
90.00,15.389,34.975,2.42,0.003,0.010
95.00,15.077,34.968,2.42,0.003,0.010
100.00,14.839,34.960,2.42,0.003,0.010
105.00,14.650,34.961,2.42,0.003,0.010
110.00,14.331,34.951,2.42,0.003,0.010
115.00,14.266,34.947,2.42,0.003,0.010
120.00,14.227,34.947,2.42,0.003,0.010
125.00,14.101,34.945,2.42,0.003,0.010
130.00,14.033,34.941,2.42,0.003,0.010
135.00,13.960,34.939,2.42,0.003,0.010
140.00,13.890,34.937,2.42,0.003,0.010
145.00,13.819,34.937,2.42,0.003,0.010
150.00,13.743,34.933,2.42,0.003,0.010
155.00,13.716,34.933,2.42,0.003,0.010
160.00,13.688,34.931,2.42,0.003,0.010
165.00,13.657,34.931,2.42,0.003,0.010
170.00,13.594,34.928,2.42,0.003,0.010
175.00,13.577,34.927,2.42,0.003,0.010
180.00,13.442,34.921,2.42,0.003,0.010
185.00,13.368,34.916,2.42,0.003,0.010
190.00,13.213,34.909,2.42,0.003,0.010
195.00,13.093,34.901,2.42,0.003,0.010
200.00,13.019,34.899,2.42,0.003,0.010
205.00,12.924,34.894,2.42,0.003,0.010
210.00,12.898,34.891,2.42,0.003,0.010
215.00,12.826,34.887,2.42,0.003,0.010
220.00,12.742,34.885,2.42,0.003,0.010
225.00,12.547,34.867,2.42,0.003,0.010
230.00,12.501,34.863,2.42,0.003,0.010
235.00,12.373,34.853,2.42,0.003,0.010
240.00,12.334,34.849,2.42,0.003,0.010
245.00,12.320,34.848,2.42,0.003,0.010
250.00,12.146,34.838,2.42,0.003,0.010
260.00,12.078,34.830,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
