#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1430
#direction_of_profile A
#data_mode D
#profile_date 2017-03-06T08:21:06Z
#profile_latitude 6.544
#profile_longitude -118.775
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.967,34.215,2.42,0.003,0.010
5.00,27.975,34.215,2.42,0.003,0.010
10.00,27.978,34.215,2.42,0.003,0.010
15.00,27.980,34.215,2.42,0.003,0.010
20.00,27.973,34.215,2.42,0.003,0.010
25.00,27.965,34.216,2.42,0.003,0.010
30.00,27.961,34.216,2.42,0.003,0.010
35.00,27.940,34.216,2.42,0.003,0.010
40.00,27.889,34.215,2.42,0.003,0.010
45.00,27.874,34.215,2.42,0.007,0.010
50.00,27.839,34.215,2.42,0.007,0.010
55.00,27.810,34.215,2.42,0.007,0.010
60.00,27.302,34.290,2.42,0.007,0.053
65.00,25.045,34.594,2.42,0.007,0.017
70.00,24.139,34.675,2.42,0.007,0.017
75.00,22.860,34.745,2.42,0.007,0.037
80.00,21.889,34.760,2.42,0.007,0.010
85.00,21.473,34.743,2.42,0.007,0.012
90.00,20.903,34.763,2.42,0.007,0.043
95.00,18.421,34.790,2.42,0.006,0.046
100.00,17.654,34.761,2.42,0.006,0.010
105.00,16.955,34.736,2.42,0.006,0.019
110.00,16.286,34.708,2.42,0.006,0.010
115.00,15.698,34.720,2.42,0.006,0.023
120.00,14.621,34.711,2.42,0.006,0.017
125.00,13.859,34.732,2.42,0.006,0.016
130.00,13.351,34.753,2.42,0.006,0.010
135.00,13.226,34.759,2.42,0.006,0.010
140.00,13.131,34.766,2.42,0.006,0.010
145.00,12.913,34.782,2.42,0.003,0.010
150.00,12.639,34.768,2.42,0.003,0.010
155.00,12.467,34.752,2.42,0.003,0.010
160.00,12.152,34.740,2.42,0.003,0.010
165.00,11.964,34.739,2.42,0.003,0.010
170.00,11.832,34.739,2.42,0.003,0.010
175.00,11.780,34.746,2.42,0.003,0.010
180.00,11.566,34.738,2.42,0.003,0.010
185.00,11.353,34.727,2.42,0.003,0.010
190.00,11.306,34.735,2.42,0.003,0.010
195.00,11.202,34.734,2.42,0.003,0.010
200.00,11.071,34.725,2.42,0.003,0.010
205.00,10.931,34.719,2.42,0.003,0.010
210.00,10.875,34.719,2.42,0.003,0.010
215.00,10.783,34.716,2.42,0.003,0.010
220.00,10.708,34.716,2.42,0.003,0.010
225.00,10.652,34.720,2.42,0.003,0.010
230.00,10.631,34.726,2.42,0.003,0.010
235.00,10.531,34.725,2.42,0.003,0.010
240.00,10.488,34.720,2.42,0.003,0.010
245.00,10.456,34.719,2.42,0.003,0.010
250.00,10.415,34.717,2.42,0.003,0.010
260.00,10.343,34.712,2.42,0.003,0.010
270.00,10.238,34.710,2.42,0.003,0.010
280.00,10.158,34.707,2.42,0.003,0.010
290.00,10.060,34.702,2.42,0.003,0.010
300.00,9.987,34.702,2.42,0.003,0.010
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
