#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 519
#direction_of_profile A
#data_mode D
#profile_date 2015-04-12T04:46:59Z
#profile_latitude 1.295
#profile_longitude -102.609
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.741,34.799,2.42,0.003,0.012
5.00,27.303,34.781,2.42,0.003,0.010
10.00,27.192,34.774,2.42,0.003,0.010
15.00,27.135,34.765,2.42,0.003,0.010
20.00,27.071,34.755,2.42,0.003,0.010
25.00,26.919,34.722,2.42,0.003,0.010
30.00,26.880,34.732,2.42,0.003,0.010
35.00,26.735,34.687,2.42,0.003,0.010
40.00,26.610,34.658,2.42,0.003,0.010
45.00,26.240,34.586,2.42,0.007,0.029
50.00,24.819,34.672,2.42,0.007,0.055
55.00,22.952,34.708,2.42,0.007,0.016
60.00,22.149,34.701,2.42,0.007,0.018
65.00,21.195,34.702,2.42,0.007,0.025
70.00,20.650,34.710,2.42,0.007,0.022
75.00,18.821,34.807,2.42,0.007,0.038
80.00,18.061,34.852,2.42,0.007,0.030
85.00,16.821,34.910,2.42,0.007,0.032
90.00,15.537,34.933,2.42,0.003,0.012
95.00,15.087,34.935,2.42,0.003,0.010
100.00,14.859,34.935,2.42,0.003,0.010
105.00,14.620,34.938,2.42,0.003,0.011
110.00,14.270,34.932,2.42,0.003,0.010
115.00,14.063,34.934,2.42,0.003,0.010
120.00,13.787,34.921,2.42,0.003,0.010
125.00,13.621,34.919,2.42,0.003,0.010
130.00,13.334,34.910,2.42,0.003,0.010
135.00,13.283,34.905,2.42,0.003,0.010
140.00,13.264,34.905,2.42,0.003,0.010
145.00,13.243,34.903,2.42,0.003,0.010
150.00,13.232,34.902,2.42,0.003,0.010
155.00,13.149,34.904,2.42,0.003,0.010
160.00,13.027,34.901,2.42,0.003,0.010
165.00,13.019,34.901,2.42,0.003,0.010
170.00,13.018,34.901,2.42,0.003,0.010
175.00,13.017,34.901,2.42,0.003,0.010
180.00,13.014,34.901,2.42,0.003,0.010
185.00,13.013,34.901,2.42,0.003,0.010
190.00,13.002,34.901,2.42,0.003,0.010
195.00,12.985,34.900,2.42,0.003,0.010
200.00,12.978,34.901,2.42,0.003,0.010
205.00,12.978,34.901,2.42,0.003,0.010
210.00,12.974,34.901,2.42,0.003,0.010
215.00,12.969,34.900,2.42,0.003,0.010
220.00,12.957,34.901,2.42,0.003,0.010
225.00,12.916,34.899,2.42,0.003,0.010
230.00,12.908,34.899,2.42,0.003,0.010
235.00,12.905,34.898,2.42,0.003,0.010
240.00,12.862,34.899,2.42,0.003,0.010
245.00,12.828,34.896,2.42,0.003,0.010
250.00,12.814,34.895,2.42,0.003,0.010
260.00,12.812,34.895,2.42,0.003,0.010
270.00,12.804,34.894,2.42,0.003,0.010
280.00,12.726,34.888,2.42,0.003,0.010
290.00,12.429,34.869,2.42,0.003,0.010
300.00,12.044,34.840,2.42,0.003,0.010
310.00,11.749,34.816,2.42,0.003,0.010
320.00,11.419,34.791,2.42,0.003,0.010
330.00,11.288,34.784,2.42,0.003,0.010
340.00,10.851,34.758,2.42,0.003,0.010
350.00,10.566,34.746,2.42,0.003,0.010
375.00,9.834,34.715,2.42,0.003,0.010
400.00,9.041,34.671,2.42,0.003,0.010
425.00,8.710,34.656,2.42,0.003,0.010
450.00,8.532,34.650,2.42,0.003,0.010
475.00,8.483,34.649,2.42,0.003,0.010
500.00,8.311,34.642,2.42,0.003,0.010
550.00,7.824,34.617,2.42,0.003,0.010
600.00,7.577,34.608,2.42,0.003,0.010
650.00,7.046,34.585,2.42,0.003,0.010
700.00,6.595,34.574,2.42,0.003,0.010
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
