#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 784
#direction_of_profile A
#data_mode D
#profile_date 2016-06-24T15:13:04Z
#profile_latitude 2.631
#profile_longitude -101.428
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,26.913,33.826,2.42,0.006,0.010
5.00,26.913,33.826,2.42,0.006,0.010
10.00,26.913,33.826,2.42,0.006,0.010
15.00,26.913,33.826,2.42,0.006,0.010
20.00,26.913,33.835,2.42,0.006,0.010
25.00,26.585,33.991,2.42,0.006,0.011
30.00,25.878,34.286,2.42,0.006,0.029
35.00,24.089,34.743,2.42,0.006,0.053
40.00,20.968,35.037,2.42,0.011,0.094
45.00,18.644,34.991,2.42,0.011,0.010
50.00,18.592,34.982,2.42,0.011,0.010
55.00,18.357,34.954,2.42,0.011,0.011
60.00,17.893,34.917,2.42,0.011,0.010
65.00,17.057,34.889,2.42,0.011,0.023
70.00,16.587,34.919,2.42,0.011,0.022
75.00,15.767,34.975,2.42,0.011,0.010
80.00,15.512,34.966,2.42,0.011,0.010
85.00,15.256,34.930,2.42,0.011,0.010
90.00,14.946,34.898,2.42,0.011,0.010
95.00,14.699,34.874,2.42,0.003,0.010
100.00,14.603,34.885,2.42,0.003,0.010
105.00,14.509,34.914,2.42,0.003,0.010
110.00,14.514,34.940,2.42,0.003,0.010
115.00,14.422,34.942,2.42,0.003,0.010
120.00,14.256,34.950,2.42,0.003,0.010
125.00,14.193,34.956,2.42,0.003,0.010
130.00,14.159,34.963,2.42,0.003,0.010
135.00,14.132,34.961,2.42,0.003,0.010
140.00,14.119,34.961,2.42,0.002,0.010
145.00,14.090,34.959,2.42,0.002,0.010
150.00,14.062,34.959,2.42,0.002,0.010
155.00,13.960,34.953,2.42,0.002,0.010
160.00,13.885,34.948,2.42,0.002,0.010
165.00,13.847,34.945,2.42,0.002,0.010
170.00,13.701,34.939,2.42,0.002,0.010
175.00,13.638,34.935,2.42,0.002,0.010
180.00,13.602,34.931,2.42,0.002,0.010
185.00,13.575,34.930,2.42,0.002,0.010
190.00,13.537,34.928,2.42,0.002,0.010
195.00,13.499,34.926,2.42,0.002,0.010
200.00,13.419,34.924,2.42,0.002,0.010
205.00,13.321,34.915,2.42,0.002,0.010
210.00,13.212,34.911,2.42,0.002,0.010
215.00,13.043,34.903,2.42,0.002,0.010
220.00,12.988,34.901,2.42,0.002,0.010
225.00,12.910,34.896,2.42,0.002,0.010
230.00,12.787,34.887,2.42,0.002,0.010
235.00,12.770,34.884,2.42,0.002,0.010
240.00,12.742,34.882,2.42,0.002,0.010
245.00,12.670,34.880,2.42,0.002,0.010
250.00,12.578,34.873,2.42,0.002,0.010
260.00,12.361,34.857,2.42,0.002,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
