#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 889
#direction_of_profile A
#data_mode D
#profile_date 2016-08-16T17:08:01Z
#profile_latitude 2.281
#profile_longitude -104.248
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,22.258,34.844,2.42,0.003,0.010
5.00,22.101,34.871,2.42,0.003,0.015
10.00,21.571,34.970,2.42,0.003,0.010
15.00,21.494,34.968,2.42,0.003,0.010
20.00,21.411,34.968,2.42,0.003,0.010
25.00,21.315,34.966,2.42,0.003,0.010
30.00,21.218,34.965,2.42,0.003,0.010
35.00,21.039,34.963,2.42,0.003,0.010
40.00,20.889,34.964,2.42,0.002,0.010
45.00,20.712,34.961,2.42,0.007,0.010
50.00,20.615,34.963,2.42,0.007,0.010
55.00,20.270,34.968,2.42,0.007,0.021
60.00,19.184,34.991,2.42,0.007,0.025
65.00,18.197,34.995,2.42,0.007,0.012
70.00,16.698,35.014,2.42,0.007,0.017
75.00,16.219,34.999,2.42,0.007,0.010
80.00,15.873,34.980,2.42,0.007,0.010
85.00,15.560,34.949,2.42,0.007,0.015
90.00,14.993,34.936,2.42,0.003,0.011
95.00,14.571,34.928,2.42,0.003,0.010
100.00,14.488,34.946,2.42,0.003,0.010
105.00,14.316,34.941,2.42,0.003,0.010
110.00,14.234,34.938,2.42,0.003,0.010
115.00,14.129,34.933,2.42,0.003,0.010
120.00,14.039,34.930,2.42,0.003,0.010
125.00,13.877,34.923,2.42,0.003,0.010
130.00,13.800,34.922,2.42,0.003,0.010
135.00,13.714,34.924,2.42,0.003,0.010
140.00,13.680,34.923,2.42,0.003,0.010
145.00,13.607,34.918,2.42,0.002,0.010
150.00,13.495,34.912,2.42,0.002,0.010
155.00,13.420,34.912,2.42,0.002,0.010
160.00,13.378,34.911,2.42,0.002,0.010
165.00,13.328,34.909,2.42,0.002,0.010
170.00,13.251,34.909,2.42,0.002,0.010
175.00,13.215,34.911,2.42,0.002,0.010
180.00,13.192,34.909,2.42,0.002,0.010
185.00,13.152,34.907,2.42,0.002,0.010
190.00,13.091,34.904,2.42,0.002,0.010
195.00,12.997,34.901,2.42,0.002,0.010
200.00,12.886,34.892,2.42,0.002,0.010
205.00,12.809,34.886,2.42,0.002,0.010
210.00,12.770,34.885,2.42,0.002,0.010
215.00,12.739,34.881,2.42,0.002,0.010
220.00,12.719,34.882,2.42,0.002,0.010
225.00,12.616,34.872,2.42,0.002,0.010
230.00,12.543,34.867,2.42,0.002,0.010
235.00,12.465,34.862,2.42,0.002,0.010
240.00,12.348,34.855,2.42,0.002,0.010
245.00,12.226,34.846,2.42,0.003,0.010
250.00,12.121,34.840,2.42,0.003,0.010
260.00,11.678,34.805,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
