#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 221
#direction_of_profile A
#data_mode D
#profile_date 2014-08-02T13:34:13Z
#profile_latitude 0.911
#profile_longitude -105.563
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,23.603,34.501,2.42,0.006,0.010
5.00,23.603,34.501,2.42,0.006,0.010
10.00,23.603,34.505,2.42,0.006,0.010
15.00,23.599,34.516,2.42,0.006,0.010
20.00,23.595,34.522,2.42,0.006,0.010
25.00,23.515,34.526,2.42,0.006,0.010
30.00,23.319,34.575,2.42,0.006,0.042
35.00,21.590,34.755,2.42,0.006,0.022
40.00,20.937,34.787,2.42,0.003,0.025
45.00,19.102,34.915,2.42,0.007,0.059
50.00,16.869,34.975,2.42,0.007,0.032
55.00,16.052,35.029,2.42,0.007,0.010
60.00,15.907,35.023,2.42,0.007,0.010
65.00,15.812,35.018,2.42,0.007,0.010
70.00,15.717,35.015,2.42,0.007,0.010
75.00,15.623,35.008,2.42,0.007,0.010
80.00,15.517,35.007,2.42,0.007,0.010
85.00,15.369,34.999,2.42,0.007,0.010
90.00,15.164,34.983,2.42,0.007,0.010
95.00,15.053,34.983,2.42,0.003,0.010
100.00,14.641,34.968,2.42,0.003,0.012
105.00,14.287,34.962,2.42,0.003,0.010
110.00,14.013,34.951,2.42,0.003,0.010
115.00,13.920,34.938,2.42,0.003,0.010
120.00,13.945,34.947,2.42,0.003,0.010
125.00,13.956,34.956,2.42,0.003,0.010
130.00,13.925,34.954,2.42,0.003,0.010
135.00,13.864,34.954,2.42,0.003,0.010
140.00,13.825,34.950,2.42,0.003,0.010
145.00,13.820,34.951,2.42,0.003,0.010
150.00,13.791,34.949,2.42,0.003,0.010
155.00,13.776,34.949,2.42,0.003,0.010
160.00,13.700,34.943,2.42,0.003,0.010
165.00,13.513,34.919,2.42,0.003,0.010
170.00,13.483,34.925,2.42,0.003,0.010
175.00,13.437,34.924,2.42,0.003,0.010
180.00,13.379,34.922,2.42,0.003,0.010
185.00,13.347,34.921,2.42,0.003,0.010
190.00,13.279,34.919,2.42,0.003,0.010
195.00,13.158,34.913,2.42,0.003,0.010
200.00,13.087,34.911,2.42,0.003,0.010
205.00,13.002,34.904,2.42,0.003,0.010
210.00,12.964,34.903,2.42,0.003,0.010
215.00,12.926,34.902,2.42,0.003,0.010
220.00,12.887,34.901,2.42,0.003,0.010
225.00,12.827,34.899,2.42,0.003,0.010
230.00,12.813,34.897,2.42,0.003,0.010
235.00,12.798,34.897,2.42,0.003,0.010
240.00,12.758,34.894,2.42,0.003,0.010
245.00,12.737,34.892,2.42,0.003,0.010
250.00,12.732,34.892,2.42,0.003,0.010
260.00,12.630,34.887,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
