#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 134
#direction_of_profile A
#data_mode D
#profile_date 2014-05-20T10:48:18Z
#profile_latitude -0.180
#profile_longitude -109.791
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,26.869,35.024,2.42,0.003,0.010
5.00,26.871,35.024,2.42,0.003,0.010
10.00,26.867,35.022,2.42,0.003,0.010
15.00,26.869,35.023,2.42,0.003,0.010
20.00,26.867,35.022,2.42,0.003,0.010
25.00,26.836,35.021,2.42,0.003,0.010
30.00,26.679,35.006,2.42,0.003,0.010
35.00,26.344,34.984,2.42,0.003,0.011
40.00,25.803,34.944,2.42,0.006,0.017
45.00,24.885,34.896,2.42,0.006,0.039
50.00,23.286,34.853,2.42,0.006,0.015
55.00,22.696,34.896,2.42,0.006,0.011
60.00,22.150,34.913,2.42,0.006,0.024
65.00,20.760,34.897,2.42,0.006,0.042
70.00,19.031,34.930,2.42,0.006,0.012
75.00,18.693,35.008,2.42,0.006,0.010
80.00,18.615,35.115,2.42,0.006,0.010
85.00,18.159,35.142,2.42,0.006,0.020
90.00,17.212,35.015,2.42,0.006,0.023
95.00,16.038,34.906,2.42,0.004,0.028
100.00,15.786,35.084,2.42,0.004,0.012
105.00,15.322,35.058,2.42,0.004,0.010
110.00,14.973,34.991,2.42,0.004,0.010
115.00,14.700,34.978,2.42,0.004,0.010
120.00,14.563,34.973,2.42,0.004,0.010
125.00,14.545,34.996,2.42,0.004,0.010
130.00,14.554,35.021,2.42,0.004,0.010
135.00,14.446,35.018,2.42,0.004,0.010
140.00,14.363,35.022,2.42,0.003,0.010
145.00,14.236,35.013,2.42,0.003,0.010
150.00,14.044,34.993,2.42,0.003,0.010
155.00,13.747,34.953,2.42,0.003,0.010
160.00,13.718,34.952,2.42,0.003,0.010
165.00,13.704,34.949,2.42,0.003,0.010
170.00,13.682,34.948,2.42,0.003,0.010
175.00,13.643,34.944,2.42,0.003,0.010
180.00,13.586,34.936,2.42,0.003,0.010
185.00,13.546,34.934,2.42,0.003,0.010
190.00,13.454,34.930,2.42,0.003,0.010
195.00,13.281,34.919,2.42,0.003,0.010
200.00,13.187,34.915,2.42,0.003,0.010
205.00,13.107,34.912,2.42,0.003,0.010
210.00,12.985,34.906,2.42,0.003,0.010
215.00,12.959,34.909,2.42,0.003,0.010
220.00,12.914,34.908,2.42,0.003,0.010
225.00,12.860,34.899,2.42,0.003,0.010
230.00,12.807,34.894,2.42,0.003,0.010
235.00,12.782,34.892,2.42,0.003,0.010
240.00,12.660,34.885,2.42,0.003,0.010
245.00,12.652,34.885,2.42,0.003,0.010
250.00,12.631,34.885,2.42,0.003,0.010
260.00,,,2.42,,
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
