#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1982
#direction_of_profile A
#data_mode D
#profile_date 2017-12-11T08:55:23Z
#profile_latitude 7.945
#profile_longitude -112.307
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.628,32.988,2.42,0.003,0.010
5.00,27.628,32.989,2.42,0.003,0.010
10.00,27.630,32.988,2.42,0.003,0.010
15.00,27.633,32.988,2.42,0.003,0.010
20.00,27.724,33.082,2.42,0.003,0.010
25.00,27.912,33.407,2.42,0.003,0.010
30.00,28.018,33.738,2.42,0.003,0.010
35.00,28.010,33.903,2.42,0.003,0.010
40.00,27.965,34.027,2.42,0.003,0.010
45.00,27.922,34.166,2.42,0.009,0.010
50.00,27.124,34.404,2.42,0.009,0.052
55.00,24.987,34.479,2.42,0.009,0.015
60.00,24.333,34.500,2.42,0.009,0.010
65.00,23.923,34.497,2.42,0.009,0.013
70.00,22.760,34.566,2.42,0.009,0.080
75.00,19.315,34.648,2.42,0.009,0.038
80.00,17.487,34.729,2.42,0.009,0.019
85.00,16.130,34.772,2.42,0.009,0.047
90.00,15.341,34.788,2.42,0.003,0.026
95.00,14.608,34.790,2.42,0.004,0.010
100.00,14.426,34.795,2.42,0.004,0.010
105.00,14.051,34.805,2.42,0.004,0.011
110.00,13.705,34.816,2.42,0.004,0.014
115.00,13.309,34.815,2.42,0.004,0.010
120.00,13.136,34.814,2.42,0.004,0.010
125.00,13.009,34.819,2.42,0.004,0.010
130.00,12.906,34.816,2.42,0.004,0.010
135.00,12.841,34.815,2.42,0.004,0.010
140.00,12.610,34.814,2.42,0.003,0.010
145.00,12.506,34.812,2.42,0.003,0.010
150.00,12.334,34.804,2.42,0.003,0.010
155.00,12.273,34.803,2.42,0.003,0.010
160.00,12.196,34.798,2.42,0.003,0.010
165.00,12.083,34.794,2.42,0.003,0.010
170.00,12.006,34.789,2.42,0.003,0.010
175.00,11.915,34.785,2.42,0.003,0.010
180.00,11.861,34.781,2.42,0.003,0.010
185.00,11.759,34.778,2.42,0.003,0.010
190.00,11.689,34.774,2.42,0.003,0.010
195.00,11.615,34.771,2.42,0.003,0.010
200.00,11.543,34.767,2.42,0.003,0.010
205.00,11.480,34.763,2.42,0.003,0.010
210.00,11.423,34.761,2.42,0.003,0.010
215.00,11.332,34.757,2.42,0.003,0.010
220.00,11.255,34.753,2.42,0.003,0.010
225.00,11.182,34.751,2.42,0.003,0.010
230.00,11.112,34.748,2.42,0.003,0.010
235.00,11.051,34.746,2.42,0.003,0.010
240.00,11.008,34.744,2.42,0.003,0.010
245.00,10.948,34.744,2.42,0.003,0.010
250.00,10.891,34.740,2.42,0.003,0.010
260.00,10.795,34.737,2.42,0.003,0.010
270.00,10.672,34.733,2.42,0.003,0.010
280.00,10.560,34.727,2.42,0.003,0.010
290.00,10.466,34.722,2.42,0.003,0.010
300.00,10.385,34.720,2.42,0.003,0.010
310.00,10.226,34.713,2.42,0.003,0.010
320.00,10.079,34.705,2.42,0.003,0.010
330.00,9.966,34.700,2.42,0.003,0.010
340.00,9.919,34.697,2.42,0.003,0.010
350.00,9.816,34.694,2.42,0.003,0.010
375.00,9.603,34.683,2.42,0.003,0.010
400.00,9.360,34.669,2.42,0.003,0.010
425.00,9.093,34.656,2.42,0.003,0.010
450.00,8.700,34.636,2.42,0.003,0.010
475.00,8.307,34.620,2.42,0.003,0.010
500.00,8.097,34.613,2.42,0.003,0.010
550.00,7.693,34.598,2.42,0.003,0.010
600.00,7.201,34.583,2.42,0.003,0.010
650.00,6.788,34.574,2.42,0.003,0.010
700.00,6.364,34.566,2.42,0.003,0.010
750.00,6.121,34.562,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
