#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 1900
#direction_of_profile A
#data_mode D
#profile_date 2017-10-05T18:13:39Z
#profile_latitude 7.017
#profile_longitude -114.774
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.584,33.516,2.42,0.003,0.010
5.00,27.586,33.514,2.42,0.003,0.010
10.00,27.581,33.514,2.42,0.003,0.010
15.00,27.579,33.518,2.42,0.003,0.010
20.00,27.421,33.873,2.42,0.003,0.010
25.00,27.356,33.928,2.42,0.003,0.010
30.00,27.327,33.939,2.42,0.003,0.010
35.00,27.263,33.968,2.42,0.003,0.010
40.00,27.199,33.986,2.42,0.003,0.010
45.00,27.138,34.006,2.42,0.006,0.010
50.00,26.828,34.309,2.42,0.006,0.045
55.00,24.502,34.402,2.42,0.006,0.034
60.00,23.397,34.520,2.42,0.006,0.012
65.00,22.977,34.583,2.42,0.006,0.010
70.00,22.550,34.632,2.42,0.006,0.010
75.00,22.079,34.731,2.42,0.006,0.016
80.00,21.394,34.756,2.42,0.006,0.010
85.00,21.282,34.852,2.42,0.006,0.010
90.00,20.621,34.838,2.42,0.006,0.021
95.00,19.363,34.742,2.42,0.005,0.034
100.00,18.007,34.712,2.42,0.005,0.033
105.00,16.549,34.747,2.42,0.005,0.024
110.00,15.299,34.796,2.42,0.005,0.024
115.00,14.258,34.779,2.42,0.005,0.010
120.00,14.088,34.777,2.42,0.005,0.010
125.00,13.858,34.785,2.42,0.005,0.012
130.00,13.213,34.743,2.42,0.005,0.010
135.00,12.926,34.766,2.42,0.005,0.010
140.00,12.843,34.789,2.42,0.003,0.010
145.00,12.879,34.833,2.42,0.003,0.010
150.00,12.848,34.850,2.42,0.003,0.010
155.00,12.754,34.851,2.42,0.003,0.010
160.00,12.664,34.851,2.42,0.003,0.010
165.00,12.566,34.843,2.42,0.003,0.010
170.00,12.490,34.841,2.42,0.003,0.010
175.00,12.430,34.835,2.42,0.003,0.010
180.00,12.359,34.833,2.42,0.003,0.010
185.00,12.186,34.819,2.42,0.003,0.010
190.00,12.069,34.806,2.42,0.003,0.010
195.00,12.018,34.799,2.42,0.003,0.010
200.00,11.955,34.798,2.42,0.003,0.010
205.00,11.790,34.788,2.42,0.003,0.010
210.00,11.681,34.784,2.42,0.003,0.010
215.00,11.551,34.772,2.42,0.003,0.010
220.00,11.492,34.769,2.42,0.003,0.010
225.00,11.435,34.766,2.42,0.003,0.010
230.00,11.306,34.757,2.42,0.003,0.010
235.00,11.205,34.752,2.42,0.003,0.010
240.00,11.048,34.749,2.42,0.003,0.010
245.00,10.954,34.743,2.42,0.003,0.010
250.00,10.930,34.742,2.42,0.003,0.010
260.00,10.861,34.740,2.42,0.003,0.010
270.00,10.810,34.740,2.42,0.003,0.010
280.00,10.682,34.735,2.42,0.003,0.010
290.00,10.538,34.727,2.42,0.003,0.010
300.00,10.421,34.722,2.42,0.003,0.010
310.00,10.310,34.719,2.42,0.003,0.010
320.00,10.215,34.714,2.42,0.003,0.010
330.00,10.164,34.711,2.42,0.003,0.010
340.00,10.099,34.709,2.42,0.003,0.010
350.00,10.000,34.702,2.42,0.003,0.010
375.00,9.815,34.694,2.42,0.003,0.010
400.00,9.598,34.683,2.42,0.003,0.010
425.00,9.401,34.673,2.42,0.003,0.010
450.00,9.159,34.662,2.42,0.003,0.010
475.00,8.858,34.648,2.42,0.003,0.010
500.00,8.556,34.634,2.42,0.003,0.010
550.00,7.945,34.611,2.42,0.003,0.010
600.00,7.223,34.585,2.42,0.003,0.010
650.00,6.658,34.574,2.42,0.003,0.010
700.00,6.251,34.565,2.42,0.003,0.010
750.00,5.878,34.563,2.42,0.003,0.010
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
